Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%)
Turkey,2020,Dairy Products,38769.45,39650.62,32.62,1091.58,67.0
Argentina,2022,Frozen Food,44822.55,49895.35,197.44,147.11,58.43
Italy,2022,Bakery Items,26687.0,26492.81,99.71,396.82,51.39
South Korea,2020,Bakery Items,16727.35,15024.39,108.21,383.8,37.57
South Africa,2023,Frozen Food,18189.87,16385.44,92.06,922.1,46.46
South Korea,2024,Frozen Food,44274.37,48037.82,93.24,635.66,43.19
Saudi Arabia,2023,Prepared Food,35127.95,38873.69,186.21,877.4,51.37
Mexico,2024,Bakery Items,41051.02,47576.89,128.4,220.64,63.26
Turkey,2018,Prepared Food,9006.3,8000.91,172.54,1054.61,59.88
Argentina,2023,Beverages,7329.99,7119.51,27.24,774.64,49.72
Mexico,2022,Bakery Items,22620.3,21652.05,138.18,665.27,42.14
Australia,2020,Fruits & Vegetables,45456.99,47399.77,105.52,897.68,54.38
Australia,2019,Frozen Food,18656.62,18849.19,124.85,851.83,33.19
Brazil,2023,Frozen Food,28256.65,26235.52,76.73,294.5,54.39
Indonesia,2023,Frozen Food,13011.74,,45.55,17.03,69.2
Italy,2023,Bakery Items,5158.83,5533.23,187.33,954.11,51.57
France,2022,Frozen Food,15594.99,14825.92,78.92,202.99,33.17
France,2020,Meat & Seafood,44973.35,37316.07,195.23,907.78,37.36
Germany,2021,Dairy Products,15436.69,12420.26,135.64,1069.72,40.72
Argentina,2022,Beverages,2481.87,2326.77,155.84,128.11,56.8
Indonesia,2024,Fruits & Vegetables,11770.28,10025.89,74.83,31.92,49.44
France,2024,Prepared Food,31850.76,37235.91,166.61,397.67,68.28
Canada,2024,Frozen Food,20610.38,21082.9,109.55,668.71,61.27
Japan,2018,Meat & Seafood,16809.82,18628.91,20.83,1337.61,36.52
USA,2020,Beverages,10418.23,11826.26,57.24,627.18,41.05
Japan,2022,Meat & Seafood,5754.96,5176.17,138.03,876.07,47.77
Russia,2019,Bakery Items,15476.91,13087.99,176.5,1335.8,36.7
Canada,2021,Beverages,47607.95,43821.9,130.48,53.93,49.83
South Africa,2024,Grains & Cereals,28886.32,27282.46,142.77,1363.17,31.8
USA,2024,Meat & Seafood,15071.26,16957.71,146.47,254.85,49.46
Russia,2023,Grains & Cereals,1207.37,1390.41,128.87,1061.17,67.48
UK,2019,Meat & Seafood,32792.41,32698.72,,212.84,60.01
UK,2023,Bakery Items,16276.69,16703.51,183.68,1011.68,55.11
Russia,2018,Meat & Seafood,24143.37,22274.87,101.35,183.01,56.08
Canada,2021,Beverages,9060.27,8555.6,24.08,878.48,47.4
France,2024,Fruits & Vegetables,24659.88,23758.67,62.68,1397.01,59.92
Russia,2024,Beverages,12148.55,10214.13,68.7,1209.48,62.66
Mexico,2024,Bakery Items,5740.16,6006.83,105.41,1257.32,69.8
Saudi Arabia,2022,Grains & Cereals,13946.56,16195.95,29.15,,52.54
Canada,2022,Dairy Products,17139.36,17798.58,79.47,296.25,30.6
Germany,2024,Frozen Food,33824.82,37275.06,151.76,608.36,41.68
Italy,2023,Grains & Cereals,49737.09,57141.36,48.65,291.33,63.28
Spain,2024,Prepared Food,33758.23,37398.9,81.66,115.74,57.86
Australia,2022,Prepared Food,6445.46,6889.42,168.41,300.61,45.14
France,2023,Fruits & Vegetables,15155.89,17812.77,95.41,1243.55,42.32
Australia,2020,Dairy Products,25602.25,22353.88,118.49,749.89,63.9
Italy,2021,Prepared Food,10144.0,10236.01,114.31,1040.3,50.05
India,2020,Beverages,41798.12,48640.24,82.44,1173.58,54.26
Mexico,2024,Meat & Seafood,816.85,717.12,108.96,916.84,32.48
China,2018,Frozen Food,3072.05,3486.72,,509.61,54.15
South Africa,2023,Beverages,13534.93,12427.64,148.55,1189.8,54.12
Japan,2020,Frozen Food,12302.84,11330.03,64.8,889.93,41.99
France,2020,Bakery Items,34051.26,39517.49,122.19,604.68,37.64
Saudi Arabia,2019,Grains & Cereals,35115.79,,93.46,630.41,40.4
Brazil,2022,Meat & Seafood,43415.16,35330.62,123.32,366.42,63.24
USA,2023,Grains & Cereals,27290.77,24428.52,132.97,913.05,53.23
Spain,2021,Frozen Food,32179.38,36712.4,35.16,504.6,30.15
UK,2019,Fruits & Vegetables,1832.98,1597.18,117.42,1077.67,51.41
Italy,2023,Bakery Items,30733.72,33769.58,120.73,,61.7
Turkey,2019,Dairy Products,10277.58,10227.7,123.39,1394.07,58.89
Brazil,2018,Dairy Products,21847.0,20986.45,84.77,846.22,34.63
Brazil,2019,Beverages,3821.97,3440.76,192.16,512.62,53.6
China,2019,Meat & Seafood,7525.2,7500.46,56.25,573.65,61.63
France,2021,Grains & Cereals,3737.96,4130.64,149.56,198.66,34.87
Spain,2023,Frozen Food,5575.76,5997.71,168.26,920.7,42.2
Spain,2019,Meat & Seafood,48620.25,50301.37,173.14,516.41,31.3
Brazil,2019,Bakery Items,10931.38,10444.62,136.92,1078.15,41.39
Russia,2020,Prepared Food,26418.47,24820.06,85.69,1257.32,65.04
Canada,2022,Grains & Cereals,37200.74,41753.73,57.46,1337.2,31.29
Russia,2020,Beverages,4731.2,3892.21,189.07,798.61,36.9
India,2019,Meat & Seafood,37711.58,44058.28,76.61,1261.04,62.43
Saudi Arabia,2022,Beverages,7656.09,8767.08,116.73,668.48,59.25
Russia,2023,Bakery Items,42578.56,47128.22,110.62,343.53,31.41
Germany,2018,Meat & Seafood,27457.99,26842.11,44.11,323.12,41.5
Australia,2022,Grains & Cereals,16867.64,19167.49,157.32,1287.85,44.16
China,2019,Grains & Cereals,24674.19,28985.24,172.4,393.27,52.71
Argentina,2023,Prepared Food,42635.97,48447.86,33.33,339.7,34.39
Australia,2020,Prepared Food,23528.03,26354.4,29.26,126.04,36.9
Indonesia,2021,Frozen Food,8342.58,6932.62,122.26,882.7,68.01
South Africa,2022,Fruits & Vegetables,47424.14,52059.72,120.63,813.98,55.74
Japan,2019,Prepared Food,15269.61,12308.08,179.27,289.07,38.25
Mexico,2020,Dairy Products,10435.28,11697.07,184.0,1253.49,50.95
USA,2019,Dairy Products,14661.13,14940.14,102.19,1012.78,57.61
Indonesia,2020,Prepared Food,26344.41,21515.45,52.9,1322.82,35.15
Mexico,2021,Fruits & Vegetables,25078.26,26956.34,73.8,26.82,45.74
France,2018,Dairy Products,7634.8,6920.6,152.62,819.72,69.38
Germany,2021,Meat & Seafood,20741.31,22020.13,189.06,1036.27,31.8
Spain,2021,Grains & Cereals,36997.75,32085.61,132.83,328.22,66.78
Australia,2023,Bakery Items,13151.02,12029.98,192.59,682.76,50.71
Brazil,2019,Bakery Items,24684.76,29436.85,96.73,275.13,37.32
Indonesia,2024,Beverages,41578.83,37298.89,136.07,901.48,58.37
UK,2024,Grains & Cereals,38818.58,42081.85,66.88,1355.79,63.79
Turkey,2019,Meat & Seafood,8848.11,9464.59,131.91,625.11,43.1
Japan,2021,Grains & Cereals,35972.5,38671.77,34.68,145.29,49.41
India,2019,Frozen Food,40010.99,42792.66,87.37,831.94,37.69
South Korea,2023,Bakery Items,23698.47,26035.42,135.45,424.67,50.69
Australia,2019,Frozen Food,49902.88,53795.1,114.38,1286.43,57.74
Australia,2018,Fruits & Vegetables,21092.23,24887.11,41.43,802.8,62.22
USA,2024,Frozen Food,43993.85,51377.53,93.19,827.64,66.88
China,2019,Dairy Products,23452.17,25246.16,134.02,473.94,36.27
Mexico,2022,Fruits & Vegetables,26877.12,26874.74,74.08,1219.56,41.75
France,2024,Beverages,7967.52,9053.55,78.26,1089.85,55.08
Saudi Arabia,2024,Fruits & Vegetables,36201.48,37772.46,168.93,508.2,39.96
China,2018,Bakery Items,33137.51,34312.6,153.28,15.25,37.59
France,2023,Meat & Seafood,31881.43,36280.05,188.46,587.85,60.03
France,2021,Prepared Food,23322.31,27573.1,84.24,,51.44
China,2018,Dairy Products,8971.56,8331.8,29.86,983.07,34.79
South Korea,2023,Beverages,12317.88,10632.5,186.06,993.41,42.45
Canada,2018,Meat & Seafood,15659.36,15841.03,120.0,570.92,67.11
UK,2022,Prepared Food,14430.76,16888.06,144.34,963.08,44.8
Spain,2023,Frozen Food,44885.35,44685.57,168.07,1255.06,57.06
South Korea,2023,Meat & Seafood,39542.72,41554.81,30.7,1155.38,55.76
India,2023,Beverages,14758.58,13338.75,33.56,160.52,66.74
Japan,2023,Dairy Products,9282.85,7976.85,44.24,253.85,59.5
South Africa,2021,Bakery Items,47715.07,47347.02,29.42,689.62,56.88
Italy,2019,Dairy Products,43405.29,39288.87,140.93,17.01,30.47
Turkey,2020,Grains & Cereals,7644.8,6541.69,96.79,304.37,53.16
Canada,2024,Prepared Food,48831.48,45814.1,184.3,240.7,34.59
Italy,2023,Meat & Seafood,28316.47,30769.01,,518.97,62.13
Mexico,2022,Grains & Cereals,29858.48,26602.0,148.96,1148.6,60.14
South Africa,2022,Beverages,28529.39,26199.69,64.18,1060.6,39.56
Brazil,2019,Grains & Cereals,42849.14,37496.68,103.3,239.31,46.24
UK,2023,Grains & Cereals,45170.97,36197.04,108.1,618.86,44.88
India,2021,Fruits & Vegetables,20222.54,22592.38,125.61,265.41,39.99
Brazil,2022,Dairy Products,14117.53,12597.16,159.8,406.27,44.22
Japan,2020,Bakery Items,15083.81,12505.53,105.61,350.85,49.38
France,2018,Bakery Items,30566.39,30720.11,172.65,1128.7,35.39
Canada,2018,Frozen Food,1581.41,1654.63,72.79,875.05,48.48
Mexico,2022,Fruits & Vegetables,13381.14,15056.57,131.13,603.48,32.25
Argentina,2023,Frozen Food,1401.65,1589.87,100.81,715.88,36.45
Canada,2022,Grains & Cereals,44914.43,37679.79,167.65,907.89,59.33
Canada,2022,Beverages,10556.1,8660.98,132.6,1304.55,34.11
Spain,2024,Beverages,41075.85,43800.0,104.1,1221.33,44.81
France,2021,Prepared Food,8164.82,7396.43,55.7,974.57,31.37
Italy,2023,Frozen Food,1833.6,2054.64,64.53,1210.24,57.23
Germany,2022,Dairy Products,6965.54,6131.14,174.3,84.59,31.59
Spain,2024,Meat & Seafood,3335.93,2697.39,173.1,1281.32,47.84
South Africa,2018,Fruits & Vegetables,19031.83,16496.51,156.91,863.02,55.73
USA,2023,Beverages,22494.61,22123.44,110.24,907.33,33.97
Italy,2024,Fruits & Vegetables,11568.58,13468.51,137.79,417.49,37.65
Australia,2022,Dairy Products,999999.0,50449.34,58.89,1328.37,33.97
China,2022,Frozen Food,19970.98,20997.66,100.95,180.09,57.56
India,2020,Beverages,17056.13,17884.77,149.27,1382.2,40.42
Russia,2023,Beverages,25544.81,20534.78,83.1,254.13,61.58
South Africa,2018,Meat & Seafood,9673.67,,140.33,977.59,40.76
Turkey,2018,Prepared Food,27946.26,23796.9,160.12,1154.92,65.17
India,2022,Grains & Cereals,8699.68,8021.62,44.52,760.48,68.35
Mexico,2021,Prepared Food,41701.22,42629.63,154.95,850.56,64.4
Argentina,2019,Beverages,12515.84,10747.91,104.54,62.57,35.89
Canada,2020,Bakery Items,32589.56,36951.42,119.7,153.6,45.03
Indonesia,2023,Dairy Products,35731.26,35463.59,57.22,1027.36,69.06
Spain,2022,Bakery Items,4975.04,4138.17,69.22,234.27,30.36
Brazil,2021,Beverages,25921.62,29082.33,34.54,1378.97,34.0
South Africa,2019,Meat & Seafood,37791.64,36116.12,180.14,847.39,68.12
Germany,2020,Beverages,5422.74,5240.92,162.21,961.64,55.72
Russia,2019,Beverages,34253.7,38503.82,63.77,374.1,62.81
South Korea,2020,Frozen Food,27722.41,29609.5,55.95,368.49,62.46
France,2023,Grains & Cereals,18789.68,19530.43,86.12,53.04,66.46
Mexico,2020,Grains & Cereals,26627.11,25354.01,192.78,909.69,47.93
Turkey,2021,Beverages,40184.32,39105.55,152.14,377.45,54.3
Turkey,2024,Grains & Cereals,30355.8,35915.63,174.13,426.38,68.35
Brazil,2024,Frozen Food,31823.4,32839.68,,1080.81,57.03
South Africa,2019,Grains & Cereals,30026.37,30917.26,176.89,550.44,43.47
Mexico,2024,Meat & Seafood,46119.45,49919.74,,74.18,67.86
Canada,2020,Prepared Food,9796.08,9485.67,148.85,609.99,56.1
USA,2018,Fruits & Vegetables,34170.59,34859.68,94.39,777.03,41.6
Russia,2022,Beverages,14279.35,12857.6,69.69,962.01,32.31
Canada,2019,Prepared Food,31133.27,28268.89,23.93,457.91,40.46
Japan,2021,Frozen Food,48272.56,45655.35,146.66,236.12,65.57
